	Dataset	dataset_name	chip_id	replicate_group_id	organism	sample_type	generic_sample_type	final_cell_type	parental_cell_type	sex	labelling	name	description	number of samples	sample types	platform	project	species	Detection threshold	Platform_Category	Platform_Colour	Platform_Symbol	display_metadata	tier1	tier2	tier3	facs_profile	celltype	sample_description	tissue_organism_part	Hover
GSM1162523;6326	6326.0	Cramer-Morales	GSM1162523	GMP normal, replicate 3	Homo sapiens	GMP	CL:0000557		granulocyte monocyte progenitor			Cramer-Morales	"Homologous recombination repair (HRR) protects cells from the lethal effect of spontaneous and therapy-induced DNA double-stand breaks. HRR usually depends on BRCA1/2-RAD51, and RAD52-RAD51 serves as back-up. To target HRR in tumor cells, a phenomenon called ""synthetic lethality"" was applied, which relies on the addiction of cancer cells to a single DNA repair pathway, whereas normal cells operate 2 or more mechanisms. Using mutagenesis and a peptide aptamer approach, we pinpointed phenylalanine 79 in RAD52 DNA binding domain I (RAD52-phenylalanine 79 [F79]) as a valid target to induce synthetic lethality in BRCA1- and/or BRCA2-deficient leukemias and carcinomas without affecting normal cells and tissues. Targeting RAD52-F79 disrupts the RAD52-DNA interaction, resulting in the accumulation of toxic DNA double-stand breaks in malignant cells, but not in normal counterparts. In addition, abrogation of RAD52-DNA interaction enhanced the antileukemia effect of already-approved drugs. BRCA-deficient status predisposing to RAD52-dependent synthetic lethality could be predicted by genetic abnormalities such as oncogenes BCR-ABL1 and PML-RAR, mutations in BRCA1 and/or BRCA2 genes, and gene expression profiles identifying leukemias displaying low levels of BRCA1 and/or BRCA2. We believe this work may initiate a personalized therapeutic approach in numerous patients with tumors displaying encoded and functional BRCA deficiency."	67.0	HSC, AP-CML HSC, BC-CML HSC, CP-CML HSC, MPP, AP-CML MPP, BC-CML MPP, CMP, AP-CML CMP, BC-CML CMP, CP-CML CMP, GMP, AP-CML GMP, BC-CML GMP, CP-CML GMP, MEP, AP-CML MEP, BC-CML MEP, CP-CML MEP	Microarray (Affymetrix HuGene-1_0-ST V1)	leukomics	Homo sapiens	4.71	HuGene	rgb(0,109,219)	diamond-open	GMP CD34+ 38+ lin- CD123+ CD45RA+ G-CSF treated donor adult	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD34+ CD38+ lin- CD123+ CD45RA+	granulocyte monocyte progenitor		blood	6326<br>Cramer-Morales<br>GMP CD34+ 38+ lin- CD123+ CD45RA+ G-CSF treated donor adult<br>CD34+ CD38+ lin- CD123+ CD45RA+<br>Microarray (Affymetrix HuGene-1_0-ST V1)
GSM1210379;6339	6339.0	Doulatov	GSM1210379	CD34+ CD38- HSC isolated from hESC-3-factor (EAR) biological rep 1	Homo sapiens	ESC-derived HMP	CL:0000837	hematopoietic multipotent progenitor	embryonic stem cell			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	SC-HSC CD34+ CD38- isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent	in vitro	pluripotent stem cell	haematopoietic stem progenitor cell	CD34+ CD38-	hematopoietic multipotent progenitor			6339<br>Doulatov<br>SC-HSC CD34+ CD38- isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent<br>CD34+ CD38-<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210380;6339	6339.0	Doulatov	GSM1210380	CD34+ CD38- HSC isolated from hESC-3-factor (EAR) biological rep 2	Homo sapiens	ESC-derived HMP	CL:0000837	hematopoietic multipotent progenitor	embryonic stem cell			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	SC-HSC CD34+ CD38- isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent	in vitro	pluripotent stem cell	haematopoietic stem progenitor cell	CD34+ CD38-	hematopoietic multipotent progenitor			6339<br>Doulatov<br>SC-HSC CD34+ CD38- isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent<br>CD34+ CD38-<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210381;6339	6339.0	Doulatov	GSM1210381	CD34+ CD38- HSC isolated from hESC-3-factor (EAR) biological rep 3	Homo sapiens	ESC-derived HMP	CL:0000837	hematopoietic multipotent progenitor	embryonic stem cell			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	SC-HSC CD34+ CD38- isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent	in vitro	pluripotent stem cell	haematopoietic stem progenitor cell	CD34+ CD38-	hematopoietic multipotent progenitor			6339<br>Doulatov<br>SC-HSC CD34+ CD38- isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent<br>CD34+ CD38-<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210382;6339	6339.0	Doulatov	GSM1210382	Cord blood CD34+ CD38- CD90+ HSC biological rep1	Homo sapiens	CB-derived HMP	CL:0000837		hematopoietic multipotent progenitor			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	MHP CD34+ CD38- CD90+ cultured 24h neonatal	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD34+ CD38- CD90+	hematopoietic multipotent progenitor		cord blood	6339<br>Doulatov<br>MHP CD34+ CD38- CD90+ cultured 24h neonatal<br>CD34+ CD38- CD90+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210383;6339	6339.0	Doulatov	GSM1210383	Cord blood CD34+ CD38- CD90+ HSC biological rep2	Homo sapiens	CB-derived HMP	CL:0000837		hematopoietic multipotent progenitor			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	MHP CD34+ CD38- CD90+ cultured 24h neonatal	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD34+ CD38- CD90+	hematopoietic multipotent progenitor		cord blood	6339<br>Doulatov<br>MHP CD34+ CD38- CD90+ cultured 24h neonatal<br>CD34+ CD38- CD90+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210384;6339	6339.0	Doulatov	GSM1210384	Cord blood CD34+ CD38- CD90+ HSC biological rep3	Homo sapiens	CB-derived HMP	CL:0000837		hematopoietic multipotent progenitor			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	MHP CD34+ CD38- CD90+ cultured 24h neonatal	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD34+ CD38- CD90+	hematopoietic multipotent progenitor		cord blood	6339<br>Doulatov<br>MHP CD34+ CD38- CD90+ cultured 24h neonatal<br>CD34+ CD38- CD90+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210385;6339	6339.0	Doulatov	GSM1210385	Cord blood CD34+ CD38+ progenitors biological rep1	Homo sapiens	CP-derived HP	CL:0000837		hematopoietic multipotent progenitor			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	MHP CD34+ CD38+ cultured 24h neonatal	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD34+ CD38+	hematopoietic multipotent progenitor		cord blood	6339<br>Doulatov<br>MHP CD34+ CD38+ cultured 24h neonatal<br>CD34+ CD38+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210386;6339	6339.0	Doulatov	GSM1210386	Cord blood CD34+ CD38+ progenitors biological rep2	Homo sapiens	CP-derived HP	CL:0000837		hematopoietic multipotent progenitor			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	MHP CD34+ CD38+ cultured 24h neonatal	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD34+ CD38+	hematopoietic multipotent progenitor		cord blood	6339<br>Doulatov<br>MHP CD34+ CD38+ cultured 24h neonatal<br>CD34+ CD38+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210387;6339	6339.0	Doulatov	GSM1210387	Cord blood CD34+ CD38+ progenitors biological rep3	Homo sapiens	CP-derived HP	CL:0000837		hematopoietic multipotent progenitor			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	MHP CD34+ CD38+ cultured 24h neonatal	in vivo	hematopoietic progenitor cell	haematopoietic stem progenitor cell	CD34+ CD38+	hematopoietic multipotent progenitor		cord blood	6339<br>Doulatov<br>MHP CD34+ CD38+ cultured 24h neonatal<br>CD34+ CD38+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210388;6339	6339.0	Doulatov	GSM1210388	CD34+ CD38- CD45+ MP isolated from hESC-D14-EB biological rep 1	Homo sapiens	ESC-derived CMP	stem progenitor cell	common myeloid progenitor	embryonic stem cell			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	SC-HSC CD34+ CD38- CD45+ isolated from D14 EB pluripotent	in vitro	pluripotent stem cell	myeloid progenitor	CD34+ CD38- CD45+	common myeloid progenitor			6339<br>Doulatov<br>SC-HSC CD34+ CD38- CD45+ isolated from D14 EB pluripotent<br>CD34+ CD38- CD45+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210389;6339	6339.0	Doulatov	GSM1210389	CD34+ CD38- CD45+ MP isolated from hESC-D14-EB biological rep 2	Homo sapiens	ESC-derived CMP	stem progenitor cell	common myeloid progenitor	embryonic stem cell			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	SC-HSC CD34+ CD38- CD45+ isolated from D14 EB pluripotent	in vitro	pluripotent stem cell	myeloid progenitor	CD34+ CD38- CD45+	common myeloid progenitor			6339<br>Doulatov<br>SC-HSC CD34+ CD38- CD45+ isolated from D14 EB pluripotent<br>CD34+ CD38- CD45+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210390;6339	6339.0	Doulatov	GSM1210390	CD34+ CD38- CD45+ MP isolated from hESC-D14-EB biological rep 3	Homo sapiens	ESC-derived CMP	stem progenitor cell	common myeloid progenitor	embryonic stem cell			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	SC-HSC CD34+ CD38- CD45+ isolated from D14 EB pluripotent	in vitro	pluripotent stem cell	myeloid progenitor	CD34+ CD38- CD45+	common myeloid progenitor			6339<br>Doulatov<br>SC-HSC CD34+ CD38- CD45+ isolated from D14 EB pluripotent<br>CD34+ CD38- CD45+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210391;6339	6339.0	Doulatov	GSM1210391	CD34+ CD38- CD90+ HSC isolated from iPSC-3-factor (EAR) biological rep 1	Homo sapiens	ESC-derived HMP	CL:0000837	hematopoietic multipotent progenitor	induced pluripotent stem cell			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	SC-HSC CD34+ CD38- CD90+ isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent	in vitro	pluripotent stem cell	haematopoietic stem progenitor cell	CD34+ CD38- CD90+	hematopoietic multipotent progenitor			6339<br>Doulatov<br>SC-HSC CD34+ CD38- CD90+ isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent<br>CD34+ CD38- CD90+<br>Microarray (Affymetrix HG-U133_Plus_2)
GSM1210392;6339	6339.0	Doulatov	GSM1210392	CD34+ CD38- CD90+ HSC isolated from iPSC-3-factor (EAR) biological rep 2	Homo sapiens	ESC-derived HMP	CL:0000837	hematopoietic multipotent progenitor	induced pluripotent stem cell			Doulatov	Human pluripotent stem cells (hPSCs) represent a promising source of patient-specific cells for disease modeling, drug screens, and cellular therapies. How- ever, the inability to derive engraftable human he- matopoietic stem and progenitor cells (HSPCs) has limited their characterization to in vitro assays. We report a strategy to respecify lineage-restricted CD34+CD45+ myeloid precursors derived from hPSCs into multilineage progenitors that can be expanded in vitro and engrafted in vivo. HOXA9, ERG, and RORA conferred self-renewal and multilineage potential in vitro and maintained primitive CD34+CD38À cells. Screening cells via transplantation revealed that two additional factors, SOX4 and MYB, conferred engraftment. Progenitors specified with all five factors gave rise to reproducible short-term engraftment with myeloid and erythroid lineages. Erythroid precursors underwent hemoglobin switching in vivo, silencing embryonic and activating adult globin expression. Our combinatorial screening approach establishes a strategy for obtaining transcription-factor-mediated engraftment of blood progenitors from human pluripotent cells.	28.0	ESC-derived CMP, iPSC-derived CMP, iPSC-derived CMP, CP-derived HP, fetal liver blood progenitor, ESC-derived HMP, ESC-derived HMP, fetal liver HMP, fetal liver-derived HMP, CB-derived HMP	Microarray (Affymetrix HG-U133_Plus_2)		Homo sapiens	4.6	HG-U133_Plus_2	rgb(255,109,182)	circle-open	SC-HSC CD34+ CD38- CD90+ isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent	in vitro	pluripotent stem cell	haematopoietic stem progenitor cell	CD34+ CD38- CD90+	hematopoietic multipotent progenitor			6339<br>Doulatov<br>SC-HSC CD34+ CD38- CD90+ isolated from D14 EB transduced with ERG HOXA9 RORA pluripotent<br>CD34+ CD38- CD90+<br>Microarray (Affymetrix HG-U133_Plus_2)
