	Dataset	dataset_name	chip_id	replicate_group_id	organism	sample_type	generic_sample_type	final_cell_type	parental_cell_type	sex	labelling	name	description	number of samples	sample types	platform	project	species	Detection threshold	Platform_Category	Platform_Colour	Platform_Symbol	display_metadata	tier1	tier2	tier3	celltype	Blood_Cluster
9252616034_E;6646	6646	Fairfax	9252616034_E	413_CD14	Homo sapiens	naïve CD14+	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+  adult	myeloid	Monocyte	adult	monocyte	Circulating Monocyte & Granulocyte
9252616057_A;6646	6646	Fairfax	9252616057_A	340_IFN	Homo sapiens	IFNg 24hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ IFN-gamma 24h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616057_K;6646	6646	Fairfax	9252616057_K	380_IFN	Homo sapiens	IFNg 24hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ IFN-gamma 24h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616058_B;6646	6646	Fairfax	9252616058_B	423_LPS_24	Homo sapiens	LPS 24hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 24h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616058_C;6646	6646	Fairfax	9252616058_C	423_IFN	Homo sapiens	IFNg 24hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ IFN-gamma 24h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616058_I;6646	6646	Fairfax	9252616058_I	396_LPS_24	Homo sapiens	LPS 24hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 24h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616073_A;6646	6646	Fairfax	9252616073_A	319_LPS_24	Homo sapiens	LPS 24hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 24h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616087_I;6646	6646	Fairfax	9252616087_I	396_IFN	Homo sapiens	IFNg 24hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ IFN-gamma 24h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616094_B;6646	6646	Fairfax	9252616094_B	325_CD14	Homo sapiens	naïve CD14+	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+  adult	myeloid	Monocyte	adult	monocyte	Circulating Monocyte & Granulocyte
9252616094_C;6646	6646	Fairfax	9252616094_C	349_LPS_24	Homo sapiens	LPS 24hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 24h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616094_G;6646	6646	Fairfax	9252616094_G	294_LPS_2	Homo sapiens	LPS 2hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 2h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616095_G;6646	6646	Fairfax	9252616095_G	344_CD14	Homo sapiens	naïve CD14+	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+  adult	myeloid	Monocyte	adult	monocyte	Circulating Monocyte & Granulocyte
9252616097_D;6646	6646	Fairfax	9252616097_D	321_LPS_2	Homo sapiens	LPS 2hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 2h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616097_E;6646	6646	Fairfax	9252616097_E	337_LPS_2	Homo sapiens	LPS 2hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 2h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616099_B;6646	6646	Fairfax	9252616099_B	340_LPS_24	Homo sapiens	LPS 24hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 24h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9252616099_C;6646	6646	Fairfax	9252616099_C	414_CD14	Homo sapiens	naïve CD14+	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+  adult	myeloid	Monocyte	adult	monocyte	Circulating Monocyte & Granulocyte
9252616099_E;6646	6646	Fairfax	9252616099_E	368_CD14	Homo sapiens	naïve CD14+	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+  adult	myeloid	Monocyte	adult	monocyte	Circulating Monocyte & Granulocyte
9257622042_E;6646	6646	Fairfax	9257622042_E	362_LPS_2	Homo sapiens	LPS 2hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 2h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9257622095_H;6646	6646	Fairfax	9257622095_H	414_LPS_2	Homo sapiens	LPS 2hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 2h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9257622098_C;6646	6646	Fairfax	9257622098_C	328_LPS_2	Homo sapiens	LPS 2hr	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+ LPS 2h adult	myeloid	Monocyte	adult	monocyte	Macrophage
9257622098_L;6646	6646	Fairfax	9257622098_L	409_CD14	Homo sapiens	naïve CD14+	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+  adult	myeloid	Monocyte	adult	monocyte	Circulating Monocyte & Granulocyte
9257622100_A;6646	6646	Fairfax	9257622100_A	354_CD14	Homo sapiens	naïve CD14+	CL:0000576		monocyte			Fairfax	"To systematically investigate the impact of immune stimulation upon regulatory variant activity, we exposed primary monocytes from 432 healthy Europeans to interferon-γ (IFN-γ) or differing durations of lipopolysaccharide and mapped expression quantitative trait loci (eQTLs). More than half of cis-eQTLs identified, involving hundreds of genes and associated pathways, are detected specifically in stimulated monocytes. Induced innate immune activity reveals multiple master regulatory trans-eQTLs including the major histocompatibility complex (MHC), coding variants altering enzyme and receptor function, an IFN-β cytokine network showing temporal specificity, and an interferon regulatory factor 2 (IRF2) transcription factor-modulated network. Induced eQTL are significantly enriched for genome-wide association study loci, identifying context-specific associations to putative causal genes including CARD9, ATM, and IRF8. Thus, applying pathophysiologically relevant immune stimuli assists resolution of functional genetic variants. Abstract from Science. 2014 Mar 7;343(6175):1246949. doi: 10.1126/science.1246949."	1448	"naïve CD14+, media 24hr, LPS 2hr, LPS 24hr, IFNg 24hr"	Microarray (Illumina HumanHT-12 V4)		Homo sapiens	4.2	Illumina V4	"rgb(146,0,0)"	diamond	Monocyte CD14+  adult	myeloid	Monocyte	adult	monocyte	Circulating Monocyte & Granulocyte
